stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
6335,56275,WB COLUMBIA AVE FS MAPLE ST,COLUMBIA AVE @ MAPLE ST,49.018456,-122.789536,ZN 99, ,0,
6357,56297,SB JOHNSTON RD NS THRIFT AVE,JOHNSTON RD @ THRIFT AVE,49.028057,-122.801309,ZN 99, ,0,
6449,56389,WB BUENA VISTA AVE FS FOSTER ST,BUENA VISTA AVE @ FOSTER ST,49.023963,-122.804311,ZN 99, ,0,
6450,56390,WB BUENA VISTA AVE FS BLACKWOOD ST,BUENA VISTA AVE @ BLACKWOOD ST,49.023973,-122.807022,ZN 99, ,0,
6451,56391,WB BUENA VISTA AVE FS BEACHVIEW AVE,BUENA VISTA AVE @ BEACH VIEW AVE,49.023978,-122.808888,ZN 99, ,0,
6452,56392,WB BUENA VISTA AVE NS OXFORD ST,BUENA VISTA AVE @ OXFORD ST,49.023985,-122.811771,ZN 99, ,0,
6297,56237,EB MARINE DR FS ELM ST,MARINE DR @ ELM ST,49.022583,-122.810074,ZN 99, ,0,
8864,58577,SEMIAHMOO MALL AT MALL ENTRANCE,MALL ACCESS RD @ MALL ENTRANCE,49.033418,-122.802541,ZN 99, ,0,
6195,56136,WHITE ROCK CENTRE BAY 3,WHITE ROCK CENTRE @ BAY 3,49.030718,-122.801296,ZN 99, ,0,
5539,55485,SB MARTIN DR FS E SOUTHMERE CRES,MARTIN DR @ E SOUTHMERE CRES,49.034509,-122.803621,ZN 99, ,0,
11364,61401,SB JOHNSTON RD NS BUENA VISTA AVE,JOHNSTON RD @ BUENA VISTA AVE,49.024089,-122.801224,ZN 99, ,0,
5542,55488,SB 152 ST FS 17 AVE,152 ST @ 17 AVE,49.032620,-122.801323,ZN 99, ,0,
6728,56665,SB HWY 17A FS LADNER TRUNK RD,HWY 17A @ LADNER TRUNK RD,49.089010,-123.057236,ZN 99, ,0,
4172,54128,WB INDIAN RIVER DR FS CASCADE COURT,INDIAN RIVER DR @ CASCADE COURT,49.321417,-122.966753,ZN 99, ,0,
4173,54129,SB MT SEYMOUR RD FS HAMBER PL,MT SEYMOUR RD @ HAMBER PL,49.319432,-122.969140,ZN 99, ,0,
4107,54066,WB MT SEYMOUR PARKWAY FS MT SEYMOUR RD,MT SEYMOUR PARKWAY @ MT SEYMOUR RD,49.316049,-122.969788,ZN 99, ,0,
4108,54067,WB MT SEYMOUR PARKWAY FS PARKGATE AVE,MT SEYMOUR PARKWAY @ PARKGATE AVE,49.315859,-122.975040,ZN 99, ,0,
4110,54069,WB MT SEYMOUR PARKWAY NS STRATHAVEN DR,MT SEYMOUR PARKWAY @ STRATHAVEN DR,49.315764,-122.984288,ZN 99, ,0,
4174,54130,WB PLYMOUTH DR FS FAIRFIELD RD,PLYMOUTH DR @ FAIRFIELD RD,49.315189,-122.990208,ZN 99, ,0,
4175,54131,SB PLYMOUTH DR FS BRIXHAM RD,PLYMOUTH DR @ BRIXHAM RD,49.314816,-122.992427,ZN 99, ,0,
4176,54132,SB PLYMOUTH DR FS TOLLCROSS RD,PLYMOUTH DR @ TOLLCROSS RD,49.313339,-122.992442,ZN 99, ,0,
4177,54133,SB PLYMOUTH DR FS MCCARTNEY CLOSE,PLYMOUTH DR @ MCCARTNEY CLOSE,49.310719,-122.995180,ZN 99, ,0,
4138,54095,WB DOLLARTON HWY FS ELLIS ST,DOLLARTON HWY @ ELLIS ST,49.308892,-122.994721,ZN 99, ,0,
4139,54096,WB DOLLARTON HWY AT 2500 BLOCK,DOLLARTON HWY @ 2500 BLOCK,49.308157,-123.002585,ZN 99, ,0,
9038,58330,WB DOLLARTON HWY AT 2400 BLOCK,DOLLARTON HWY @ 2400 BLOCK,49.307780,-123.006336,ZN 99, ,0,
4140,58455,WB DOLLARTON HWY FS FORESTER ST,DOLLARTON HWY @ FORESTER ST,49.306090,-123.011439,ZN 99, ,0,
8830,58458,NB RIVERSIDE DR FS DOLLARTON HWY,RIVERSIDE DR @ DOLLARTON HWY,49.306138,-123.014171,ZN 99, ,0,
4141,54098,WB OLD DOLLARTON RD FS RIVERSIDE DR,OLD DOLLARTON RD @ RIVERSIDE DR,49.307552,-123.015949,ZN 99, ,0,
4142,54099,WB OLD DOLLARTON RD FS FRONT ST,OLD DOLLARTON RD @ FRONT ST,49.306082,-123.018714,ZN 99, ,0,
11327,61302,WB INDIAN RIVER DR NS MT SEYMOUR RD,INDIAN RIVER DR @ MT SEYMOUR RD,49.321443,-122.968697,ZN 99, ,0,
4109,54068,WB MT SEYMOUR PARKWAY FS APEX AVE,MT SEYMOUR PARKWAY @ APEX AVE,49.315721,-122.980964,ZN 99, ,0,
6735,56672,NB HWY 17 FS 56 ST,HWY 17 @ 56 ST,49.043179,-123.067662,ZN 99, ,0,
7259,57188,LANGLEY CENTRE BAY 6,LANGLEY CENTRE @ BAY 6,49.106538,-122.654955,ZN 99, ,0,
7192,57122,SB 198 ST FS 24 AVE,198 ST @ 24 AVE,49.044614,-122.674966,ZN 99, ,0,
7196,57126,NB 200 ST FS 28 AVE,200 ST @ 28 AVE,49.053114,-122.669370,ZN 99, ,0,
7198,57128,NB 200 ST FS 32 AVE,200 ST @ 32 AVE,49.060741,-122.669420,ZN 99, ,0,
7199,57129,NB 200 ST FS 33A AVE,200 ST @ 33A AVE,49.063087,-122.669434,ZN 99, ,0,
7086,57018,NB 200 ST FS 50 AVE,200 ST @ 50 AVE,49.093927,-122.668476,ZN 99, ,0,
7093,57025,NB 203 ST FS FRASER HWY,203 ST @ FRASER HWY,49.105965,-122.659978,ZN 99, ,0,
7094,57026,EB LOGAN AVE FS 203A ST,LOGAN AVE @ 203A ST,49.107717,-122.657694,ZN 99, ,0,
8936,58549,NB 200 ST FS 36 AVE,200 ST @ 36 AVE,49.067865,-122.669371,ZN 99, ,0,
8937,58550,NB 200 ST FS 38A AVE,200 ST @ 38A AVE,49.072156,-122.669457,ZN 99, ,0,
7195,57125,NB 200 ST FS 24 AVE,200 ST @ 24 AVE,49.046711,-122.669285,ZN 99, ,0,
